driver_id,driver_name,sales_organization_id,scheduled_daily_hours,regular_hourly_rate,overtime_hourly_rate,active_flag
DRV00052,Driver 00052,SO0013,8.0,26.57,44.04,True
DRV00053,Driver 00053,SO0014,8.0,33.14,45.01,True
DRV00054,Driver 00054,SO0014,8.0,23.21,48.4,True
DRV00055,Driver 00055,SO0014,8.0,29.08,39.85,True
DRV00056,Driver 00056,SO0014,8.0,23.87,44.2,True
DRV00057,Driver 00057,SO0015,8.0,23.67,50.12,True
DRV00058,Driver 00058,SO0015,8.0,35.92,47.09,True
DRV00059,Driver 00059,SO0015,8.0,34.71,51.51,True
DRV00060,Driver 00060,SO0015,8.0,23.68,38.25,True
DRV00061,Driver 00061,SO0016,8.0,24.1,35.33,True
DRV00062,Driver 00062,SO0016,8.0,34.95,38.26,True
DRV00063,Driver 00063,SO0016,8.0,34.78,49.24,True
DRV00064,Driver 00064,SO0016,8.0,31.48,37.08,True
DRV00065,Driver 00065,SO0017,8.0,32.32,37.98,True
DRV00066,Driver 00066,SO0017,8.0,35.03,44.0,True
DRV00067,Driver 00067,SO0017,8.0,30.63,42.49,True
DRV00068,Driver 00068,SO0017,8.0,23.41,49.61,True
DRV00069,Driver 00069,SO0018,8.0,33.96,41.39,True
DRV00070,Driver 00070,SO0018,8.0,25.27,50.8,True
DRV00071,Driver 00071,SO0018,8.0,28.5,42.61,True
DRV00072,Driver 00072,SO0018,8.0,24.13,49.76,True
DRV00073,Driver 00073,SO0019,8.0,31.89,46.57,True
DRV00074,Driver 00074,SO0019,8.0,31.01,43.14,True
DRV00075,Driver 00075,SO0019,8.0,23.92,52.06,True
DRV00076,Driver 00076,SO0019,8.0,24.54,42.09,True
DRV00077,Driver 00077,SO0020,8.0,25.53,51.72,True
DRV00078,Driver 00078,SO0020,8.0,35.47,49.78,True
DRV00079,Driver 00079,SO0020,8.0,29.46,47.97,True
DRV00080,Driver 00080,SO0020,8.0,26.87,53.81,True
DRV00081,Driver 00081,SO0021,8.0,34.61,45.41,True
DRV00082,Driver 00082,SO0021,8.0,31.28,41.1,True
DRV00083,Driver 00083,SO0021,8.0,32.42,43.44,True
DRV00084,Driver 00084,SO0021,8.0,32.87,43.66,True
DRV00085,Driver 00085,SO0022,8.0,33.11,39.24,True
DRV00086,Driver 00086,SO0022,8.0,25.55,50.12,True
DRV00087,Driver 00087,SO0022,8.0,29.31,49.25,True
DRV00088,Driver 00088,SO0022,8.0,34.03,48.26,True
DRV00089,Driver 00089,SO0023,8.0,35.81,51.62,True
DRV00090,Driver 00090,SO0023,8.0,29.11,46.49,True
DRV00091,Driver 00091,SO0023,8.0,24.85,47.72,True
DRV00092,Driver 00092,SO0023,8.0,31.81,50.78,True
DRV00093,Driver 00093,SO0024,8.0,26.84,44.64,True
DRV00094,Driver 00094,SO0024,8.0,23.45,38.22,True
DRV00095,Driver 00095,SO0024,8.0,33.1,52.03,True
DRV00096,Driver 00096,SO0024,8.0,29.03,41.86,True
DRV00097,Driver 00097,SO0025,8.0,33.27,35.53,True
DRV00098,Driver 00098,SO0025,8.0,28.52,38.03,True
DRV00099,Driver 00099,SO0025,8.0,31.38,43.85,True
DRV00100,Driver 00100,SO0025,8.0,31.92,39.08,True
DRV00101,Driver 00101,SO0026,8.0,28.58,50.21,True
DRV00102,Driver 00102,SO0026,8.0,24.94,41.37,True
DRV00103,Driver 00103,SO0026,8.0,29.04,46.82,True
DRV00104,Driver 00104,SO0026,8.0,24.78,35.57,True
DRV00105,Driver 00105,SO0027,8.0,35.59,37.79,True
DRV00106,Driver 00106,SO0027,8.0,24.32,39.74,True
DRV00107,Driver 00107,SO0027,8.0,26.78,40.57,True
DRV00108,Driver 00108,SO0027,8.0,32.13,36.93,True
DRV00109,Driver 00109,SO0028,8.0,27.62,53.19,True
DRV00110,Driver 00110,SO0028,8.0,31.98,45.0,True
DRV00111,Driver 00111,SO0028,8.0,27.07,48.0,True
DRV00112,Driver 00112,SO0028,8.0,32.42,49.73,True
DRV00113,Driver 00113,SO0029,8.0,34.78,48.43,True
DRV00114,Driver 00114,SO0029,8.0,30.89,48.77,True
DRV00115,Driver 00115,SO0029,8.0,31.77,44.37,True
DRV00116,Driver 00116,SO0029,8.0,26.48,35.63,True
DRV00117,Driver 00117,SO0030,8.0,24.91,50.54,True
DRV00118,Driver 00118,SO0030,8.0,27.36,49.81,True
DRV00119,Driver 00119,SO0030,8.0,34.63,39.37,True
DRV00120,Driver 00120,SO0030,8.0,26.14,51.53,True
DRV00121,Driver 00121,SO0031,8.0,32.9,35.43,True
DRV00122,Driver 00122,SO0031,8.0,26.19,36.26,True
DRV00123,Driver 00123,SO0031,8.0,32.23,46.32,True
DRV00124,Driver 00124,SO0031,8.0,31.02,50.25,True
DRV00125,Driver 00125,SO0032,8.0,27.79,40.62,True
DRV00126,Driver 00126,SO0032,8.0,26.35,49.99,True
DRV00127,Driver 00127,SO0032,8.0,33.21,46.73,True
DRV00128,Driver 00128,SO0032,8.0,28.91,52.81,True
DRV00129,Driver 00129,SO0033,8.0,25.73,42.29,True
DRV00130,Driver 00130,SO0033,8.0,35.32,45.55,True
DRV00131,Driver 00131,SO0033,8.0,35.52,48.09,True
DRV00132,Driver 00132,SO0033,8.0,28.26,45.47,True
DRV00133,Driver 00133,SO0034,8.0,26.63,43.57,True
DRV00134,Driver 00134,SO0034,8.0,24.96,37.65,True
DRV00135,Driver 00135,SO0034,8.0,26.38,52.02,True
DRV00136,Driver 00136,SO0034,8.0,33.76,41.64,True
DRV00137,Driver 00137,SO0035,8.0,23.53,51.71,True
DRV00138,Driver 00138,SO0035,8.0,27.4,51.8,True
DRV00139,Driver 00139,SO0035,8.0,35.68,45.85,True
DRV00140,Driver 00140,SO0035,8.0,35.15,53.34,True
DRV00141,Driver 00141,SO0036,8.0,33.74,44.38,True
DRV00142,Driver 00142,SO0036,8.0,34.22,52.31,True
DRV00143,Driver 00143,SO0036,8.0,35.54,41.24,True
DRV00144,Driver 00144,SO0036,8.0,28.83,42.03,True
DRV00145,Driver 00145,SO0037,8.0,28.44,41.03,True
DRV00146,Driver 00146,SO0037,8.0,28.39,45.96,True
DRV00147,Driver 00147,SO0037,8.0,34.68,43.2,True
DRV00148,Driver 00148,SO0037,8.0,27.25,53.17,True
DRV00149,Driver 00149,SO0038,8.0,32.79,47.49,True
DRV00150,Driver 00150,SO0038,8.0,32.51,46.22,True
DRV00151,Driver 00151,SO0038,8.0,31.82,42.12,True
DRV00152,Driver 00152,SO0038,8.0,28.62,51.32,True
DRV00153,Driver 00153,SO0039,8.0,25.25,50.2,True
DRV00154,Driver 00154,SO0039,8.0,24.39,43.08,True
DRV00155,Driver 00155,SO0039,8.0,28.76,47.71,True
DRV00156,Driver 00156,SO0039,8.0,27.1,41.73,True
DRV00157,Driver 00157,SO0040,8.0,26.67,38.45,True
DRV00158,Driver 00158,SO0040,8.0,29.23,38.24,True
DRV00159,Driver 00159,SO0040,8.0,24.85,47.97,True
DRV00160,Driver 00160,SO0040,8.0,24.9,39.38,True
DRV00161,Driver 00161,SO0041,8.0,34.39,38.51,True
DRV00162,Driver 00162,SO0041,8.0,33.76,46.18,True
DRV00163,Driver 00163,SO0041,8.0,23.93,48.46,True
DRV00164,Driver 00164,SO0041,8.0,32.12,52.5,True
DRV00165,Driver 00165,SO0042,8.0,34.24,36.25,True
DRV00166,Driver 00166,SO0042,8.0,28.31,37.23,True
DRV00167,Driver 00167,SO0042,8.0,23.22,38.31,True
DRV00168,Driver 00168,SO0042,8.0,25.32,37.25,True
DRV00169,Driver 00169,SO0043,8.0,24.67,46.71,True
DRV00170,Driver 00170,SO0043,8.0,34.53,42.16,True
DRV00171,Driver 00171,SO0043,8.0,24.0,44.14,True
DRV00172,Driver 00172,SO0043,8.0,32.71,36.17,True
DRV00173,Driver 00173,SO0044,8.0,30.69,43.34,True
DRV00174,Driver 00174,SO0044,8.0,29.51,47.26,True
DRV00175,Driver 00175,SO0044,8.0,26.25,45.05,True
DRV00176,Driver 00176,SO0044,8.0,23.66,39.36,True
DRV00177,Driver 00177,SO0045,8.0,34.42,45.33,True
DRV00178,Driver 00178,SO0045,8.0,23.65,38.53,True
DRV00179,Driver 00179,SO0045,8.0,23.81,41.71,True
DRV00180,Driver 00180,SO0045,8.0,30.86,44.53,True
DRV00181,Driver 00181,SO0046,8.0,35.11,43.25,True
DRV00182,Driver 00182,SO0046,8.0,29.36,51.15,True
DRV00183,Driver 00183,SO0046,8.0,29.5,53.76,True
DRV00184,Driver 00184,SO0046,8.0,34.38,35.21,True
DRV00185,Driver 00185,SO0047,8.0,25.29,36.99,True
DRV00186,Driver 00186,SO0047,8.0,27.57,41.36,True
DRV00187,Driver 00187,SO0047,8.0,32.0,35.84,True
DRV00188,Driver 00188,SO0047,8.0,28.4,37.02,True
DRV00189,Driver 00189,SO0048,8.0,25.83,46.64,True
DRV00190,Driver 00190,SO0048,8.0,32.57,36.09,True
DRV00191,Driver 00191,SO0048,8.0,23.53,37.79,True
DRV00192,Driver 00192,SO0048,8.0,24.39,50.68,True
